Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.1%,,26736,Below Threshold,"$5,185",Below 1.5%,78,Not Clustered,Cuba,,,10137,"$4,688",$59B,10.4%,$587,,0.5%,12%,,80,76,2%,1,19%,70%,0.115,11.3M,76.3%,The Americas,$2B,,12/1/2007
1.3%,,,Below Threshold,,Below 1.5%,76,Not Clustered,Curacao,,,,,,,,,,,,79,72,,1,20%,67%,0.126,0.1M,90.3%,The Americas,$0B,$0B,12/1/2007
,0.37,150,Below Threshold,"$5,828",Above 3%,,Friendly,Dominica,14,,43,"$4,688",$0B,5.1%,$298,147,1.2%,40%,0.092,,,126%,1,,,,0.1M,67.2%,The Americas,$0B,$0B,12/1/2007
2.3%,0.395,21430,Below Threshold,"$4,298",1.5-3%,72,Moderate,Dominican Republic,22,,7058,$0,$41B,5.0%,$212,286,2.8%,18%,0.158,75,69,57%,1,32%,62%,0.058,9.6M,70.0%,The Americas,$4B,$1B,12/1/2007
2.3%,0.353,30759,Below Threshold,"$3,575",1.5-3%,75,Moderate,Ecuador,65,,11332,$0,$51B,6.7%,$241,600,2.3%,11%,,78,72,70%,1,32%,62%,0.058,14.3M,62.1%,The Americas,$1B,$1B,12/1/2007
2.1%,0.347,6898,Below Threshold,"$3,284",1.5-3%,71,Moderate,El Salvador,22,,4479,$0,$20B,6.3%,$207,320,1.8%,6%,,76,66,100%,1,34%,59%,0.065,6.1M,62.7%,The Americas,$1B,$0B,12/1/2007
1.5%,,616,Below Threshold,"$37,517",1.5-3%,70,Not Clustered,Greenland,,,,"$37,504",$2B,,,,,61%,,72,68,117%,1,,,,0.1M,83.5%,The Americas,,,12/1/2007
1.9%,0.453,238,Below Threshold,"$7,326",1.5-3%,72,Moderate,Grenada,20,,81,"$4,688",$1B,6.1%,$448,140,1.2%,22%,0.098,74,69,50%,1,29%,64%,0.075,0.1M,35.8%,The Americas,$0B,$0B,12/1/2007
3.4%,0.365,12636,Below Threshold,"$2,561",Above 3%,71,Friendly,Guatemala,34,,8528,$0,$34B,7.2%,$184,344,3.1%,7%,0.128,74,67,89%,1,43%,53%,0.043,13.3M,48.0%,The Americas,$1B,$1B,12/1/2007
2.2%,0.39,1566,Below Threshold,"$2,259",1.5-3%,65,Moderate,Guyana,37,,500,$0,$2B,3.9%,$89,288,3.4%,14%,0.146,68,62,70%,1,37%,59%,0.035,0.8M,28.2%,The Americas,$0B,$0B,12/1/2007
2.8%,0.404,2391,Below Threshold,$619,1.5-3%,61,Low,Haiti,202,,2509,$0,$6B,5.4%,$34,184,6.3%,7%,0.231,62,59,26%,1,37%,58%,0.043,9.5M,47.4%,The Americas,$0B,$0B,12/1/2007
2.8%,0.44,8779,Below Threshold,"$1,710",1.5-3%,72,Moderate,Honduras,21,,4692,$0,$12B,7.9%,$136,424,2.4%,9%,0.166,74,70,58%,1,39%,57%,0.042,7.2M,49.8%,The Americas,$1B,$0B,12/1/2007
1.6%,0.499,13480,Below Threshold,"$4,815",1.5-3%,72,Friendly,Jamaica,8,,4200,"$4,688",$13B,4.9%,$230,414,1.7%,21%,0.172,75,69,99%,1,30%,62%,0.077,2.7M,53.2%,The Americas,$2B,$0B,12/1/2007
2.1%,0.523,455845,Below Threshold,"$9,190",1.5-3%,76,Very Friendly,Mexico,25,,176711,"$4,688","$1,043B",5.8%,$565,485,1.6%,21%,0.076,78,74,59%,1,31%,63%,0.056,113.5M,76.9%,The Americas,$14B,$10B,12/1/2007
2.5%,0.635,4595,Below Threshold,"$1,333",1.5-3%,73,Moderate,Nicaragua,39,,2871,$0,$7B,6.9%,$92,240,2.4%,4%,0.13,76,70,45%,1,36%,59%,0.043,5.6M,56.4%,The Americas,$0B,$0B,12/1/2007
2.1%,0.447,7125,Below Threshold,"$6,050",1.5-3%,77,Friendly,Panama,18,,3024,"$4,688",$21B,6.7%,$382,482,1.8%,22%,0.083,79,74,86%,1,30%,64%,0.063,3.5M,64.3%,The Americas,$2B,$0B,12/1/2007
2.5%,0.351,4136,Below Threshold,"$2,252",1.5-3%,72,Moderate,Paraguay,35,,4225,$0,$14B,6.0%,$135,328,2.3%,11%,0.25,74,70,77%,1,35%,60%,0.049,6.1M,57.8%,The Americas,$0B,$0B,12/1/2007
2.1%,0.383,43208,Below Threshold,"$3,607",1.5-3%,73,Very Friendly,Peru,72,,14334,$0,$102B,5.1%,$192,424,1.9%,25%,0.229,76,70,54%,1,31%,63%,0.056,28.3M,75.8%,The Americas,$2B,$1B,12/1/2007
1.2%,0.576,,Below Threshold,"$23,665",Below 1.5%,79,Very Friendly,Puerto Rico,7,,,"$23,440",$90B,,,140,,28%,,83,74,65%,1,22%,66%,0.125,3.8M,94.0%,The Americas,$3B,$2B,12/1/2007
,,,Below Threshold,,Above 3%,75,Not Clustered,Sint Maarten (Dutch part),,,,,,,,,,,,77,72,,1,,,,0.0M,100.0%,The Americas,$1B,$0B,12/1/2007
,0.523,249,Below Threshold,"$13,552",Above 3%,,Friendly,St. Kitts and Nevis,19,,83,"$9,376",$1B,4.1%,$551,172,1.0%,52%,0.093,,,128%,1,,,,0.1M,31.9%,The Americas,$0B,$0B,12/1/2007
1.7%,0.34,385,Below Threshold,"$6,733",1.5-3%,74,Friendly,St. Lucia,20,,128,"$4,688",$1B,6.8%,$452,71,1.4%,28%,0.101,76,71,86%,1,27%,65%,0.077,0.2M,21.1%,The Americas,$0B,$0B,12/1/2007
1.7%,,,Below Threshold,,1.5-3%,79,Not Clustered,St. Martin (French part),,,,,,,,,,,,82,75,,1,,,,0.0M,,The Americas,,,12/1/2007
1.8%,0.45,202,Below Threshold,"$6,273",1.5-3%,72,Friendly,St. Vincent and the Grenadines,12,,70,"$4,688",$1B,3.9%,$246,76,1.9%,16%,0.096,74,70,101%,1,28%,65%,0.07,0.1M,47.7%,The Americas,$0B,$0B,12/1/2007
1.9%,0.279,2442,Below Threshold,"$5,753",1.5-3%,70,Low,Suriname,694,,714,"$4,688",$3B,5.9%,$341,199,2.4%,14%,0.138,73,66,74%,1,30%,64%,0.062,0.5M,66.5%,The Americas,$0B,$0B,12/1/2007
1.5%,0.331,46461,Below Threshold,"$16,664",1.5-3%,70,Friendly,Trinidad and Tobago,43,,20331,"$14,064",$22B,4.8%,$790,210,2.3%,32%,0.118,73,66,115%,1,21%,71%,0.076,1.3M,9.6%,The Americas,$1B,$0B,12/1/2007
,,158,Below Threshold,,Above 3%,,Not Clustered,Turks and Caicos Islands,,,,,,,,,,,,,,,1,,,,0.0M,88.8%,The Americas,,,12/1/2007
1.4%,0.461,5828697,Above Threshold,"$48,070",Below 1.5%,78,Very Friendly,United States,6,,2337014,"$46,880","$14,480B",16.1%,"$7,486",325,0.7%,75%,0.081,80,75,82%,1,20%,67%,0.125,301.2M,80.3%,The Americas,$149B,$111B,12/1/2007
1.5%,0.713,5999,Below Threshold,"$7,013",1.5-3%,77,Friendly,Uruguay,44,,3172,"$4,688",$23B,8.0%,$560,304,1.2%,34%,0.089,80,73,90%,1,23%,63%,0.137,3.3M,93.8%,The Americas,$1B,$0B,12/1/2007
2.2%,0.536,175785,Below Threshold,"$8,330",1.5-3%,74,Low,"Venezuela, RB",141,,62934,"$4,688",$230B,6.0%,$497,864,1.5%,21%,0.171,77,71,86%,1,31%,64%,0.052,27.7M,88.6%,The Americas,$1B,$2B,12/1/2007
1.3%,,,Below Threshold,,Below 1.5%,79,Not Clustered,Virgin Islands (U.S.),,,,,,,,,,27%,,82,76,,1,21%,67%,0.117,0.1M,94.1%,The Americas,$2B,,12/1/2007
2.4%,0.738,114619,Below Threshold,"$4,787",1.5-3%,71,Low,Algeria,25,,37425,"$4,688",$171B,3.8%,$183,451,2.5%,10%,0.08,72,69,76%,1,27%,68%,0.047,35.7M,66.1%,Africa,$0B,$1B,12/1/2008
4.8%,0.521,26597,Below Threshold,"$4,596",Above 3%,50,Low,Angola,68,,11584,$0,$84B,3.8%,$177,272,11.5%,5%,0.125,51,48,37%,1,48%,50%,0.024,18.3M,38.5%,Africa,$0B,$0B,12/1/2008
3.9%,0.732,4492,Below Threshold,$739,Above 3%,59,Low,Benin,31,,3278,$0,$7B,4.2%,$31,270,6.6%,2%,,60,57,40%,1,44%,53%,0.029,9.0M,41.1%,Africa,$0B,$0B,12/1/2008
2.5%,0.171,4980,Below Threshold,"$5,747",1.5-3%,46,Friendly,Botswana,77,,2151,"$4,688",$11B,5.3%,$307,140,4.3%,6%,0.165,46,46,77%,1,35%,62%,0.034,1.9M,55.8%,Africa,$0B,$0B,12/1/2008
4.4%,0.445,1698,Below Threshold,$570,Above 3%,55,Low,Burkina Faso,16,,,$0,$8B,8.6%,$39,270,7.6%,1%,,55,54,21%,1,46%,51%,0.025,14.7M,24.0%,Africa,$0B,$0B,12/1/2008
4.5%,2.797,249,Below Threshold,$187,Above 3%,52,Low,Burundi,13,,,$0,$2B,7.9%,$15,140,6.6%,1%,0.165,53,50,6%,1,44%,53%,0.026,8.6M,10.1%,Africa,$0B,$0B,12/1/2008
3.9%,0.504,5545,Below Threshold,"$1,211",Above 3%,53,Low,Cameroon,38,,6395,$0,$24B,5.0%,$60,654,7.1%,3%,,54,52,31%,1,44%,53%,0.033,19.6M,50.3%,Africa,$0B,$1B,12/1/2008
3.6%,2.038,235,Below Threshold,$474,Above 3%,47,Low,Central African Republic,22,,,$0,$2B,4.3%,$20,504,10.7%,1%,,48,45,14%,1,41%,55%,0.039,4.2M,38.5%,Africa,$0B,$0B,12/1/2008
4.8%,0.713,510,Below Threshold,$938,Above 3%,49,Low,Chad,64,,,$0,$10B,3.6%,$27,732,9.7%,1%,,50,48,15%,1,49%,48%,0.026,11.0M,21.9%,Africa,,,12/1/2008
3.8%,2.179,125,Below Threshold,$816,Above 3%,60,Low,Comoros,22,,,$0,$1B,5.2%,$42,100,6.6%,3%,0.105,61,58,14%,1,42%,55%,0.03,0.6M,27.9%,Africa,$0B,$0B,12/1/2008
4.5%,2.881,2820,Below Threshold,$327,Above 3%,49,Low,"Congo, Dem. Rep.",133,,22246,$0,$19B,7.3%,$15,308,9.7%,0%,0.432,50,47,17%,1,46%,51%,0.028,58.8M,38.9%,Africa,$0B,$0B,12/1/2008
3.9%,0.659,1474,Below Threshold,"$3,059",Above 3%,56,Low,"Congo, Rep.",161,,1260,$0,$12B,2.1%,$64,606,4.9%,4%,,57,55,47%,1,42%,54%,0.034,3.9M,62.3%,Africa,,,12/1/2008
3.6%,0.446,6872,Below Threshold,"$1,282",Above 3%,49,Low,Cote d'Ivoire,40,,10278,$0,$23B,6.5%,$83,270,8.2%,2%,,50,48,57%,1,42%,55%,0.03,18.3M,49.0%,Africa,$0B,$1B,12/1/2008
2.9%,0.378,524,Below Threshold,"$1,233",1.5-3%,60,Low,Djibouti,37,,,$0,$1B,8.0%,$92,66,6.6%,2%,0.116,61,58,14%,1,35%,61%,0.035,0.8M,76.9%,Africa,$0B,$0B,12/1/2008
2.4%,0.44,196797,Below Threshold,"$2,157",1.5-3%,70,Moderate,"Egypt, Arab Rep.",8,,72050,$0,$163B,4.8%,$101,711,2.1%,18%,0.123,72,68,55%,1,32%,63%,0.054,75.5M,43.1%,Africa,$12B,$3B,12/1/2008
3.7%,0.441,4503,Below Threshold,"$23,432",Above 3%,51,Low,Equatorial Guinea,135,,,"$18,752",$15B,3.4%,$792,492,8.0%,2%,,52,49,27%,1,40%,57%,0.03,0.7M,39.0%,Africa,,,12/1/2008
3.9%,0.845,414,Below Threshold,$256,Above 3%,61,Low,Eritrea,84,,677,$0,$1B,3.4%,$9,216,4.2%,1%,,63,58,2%,1,43%,55%,0.02,5.4M,19.9%,Africa,$0B,,12/1/2008
3.6%,0.303,6370,Below Threshold,$322,Above 3%,60,Moderate,Ethiopia,18,,31482,$0,$27B,4.3%,$14,198,5.7%,1%,0.08,61,59,2%,1,45%,52%,0.032,82.6M,16.5%,Africa,$1B,$0B,12/1/2008
3.3%,0.447,1566,Below Threshold,"$10,578",Above 3%,61,Low,Gabon,57,,1880,"$9,376",$16B,2.7%,$283,488,4.6%,6%,,62,60,88%,1,39%,56%,0.055,1.5M,84.9%,Africa,,,12/1/2008
4.4%,2.921,411,Below Threshold,$612,Above 3%,58,Low,"Gambia, The",27,,,$0,$1B,4.1%,$25,376,5.4%,7%,0.27,59,56,74%,1,46%,51%,0.025,1.6M,54.8%,Africa,$0B,$0B,12/1/2008
3.3%,0.325,8529,Below Threshold,"$1,234",Above 3%,60,Friendly,Ghana,13,,8958,$0,$29B,5.6%,$69,224,5.6%,4%,,61,59,50%,1,39%,57%,0.035,23.1M,49.4%,Africa,$1B,$1B,12/1/2008
3.9%,0.807,1214,Below Threshold,$438,Above 3%,55,Low,Guinea,40,,,$0,$5B,6.0%,$26,416,7.7%,1%,,55,54,27%,1,43%,54%,0.032,10.3M,34.0%,Africa,$0B,$0B,12/1/2008
3.9%,0.459,227,Below Threshold,$556,Above 3%,54,Low,Guinea-Bissau,259,,,$0,$1B,6.0%,$34,208,8.9%,2%,,55,52,33%,1,42%,55%,0.029,1.5M,43.5%,Africa,$0B,$0B,12/1/2008
3.8%,0.493,10242,Below Threshold,$786,Above 3%,58,Moderate,Kenya,30,,17806,$0,$30B,4.2%,$33,417,5.6%,9%,0.14,59,56,42%,1,43%,55%,0.026,38.8M,22.8%,Africa,$1B,$0B,12/1/2008
2.8%,0.196,18,Below Threshold,$827,1.5-3%,46,Moderate,Lesotho,40,,,$0,$2B,8.9%,$73,324,8.2%,4%,0.162,46,46,30%,1,39%,57%,0.044,2.0M,23.8%,Africa,$0B,$0B,12/1/2008
3.8%,0.429,576,Below Threshold,$231,Above 3%,58,Low,Liberia,31,,,$0,$1B,11.8%,$27,158,6.7%,1%,0.144,59,57,23%,1,43%,54%,0.031,3.7M,47.1%,Africa,$0B,$0B,12/1/2008
2.2%,,60392,Below Threshold,"$15,853",1.5-3%,75,Low,Libya,,,17738,"$14,064",$93B,2.2%,$318,,1.6%,9%,0.06,76,73,126%,1,30%,66%,0.044,5.9M,77.3%,Africa,$0B,$1B,12/1/2008
3.6%,0.426,1944,Below Threshold,$472,Above 3%,63,Moderate,Madagascar,7,,,$0,$9B,4.3%,$20,238,4.7%,2%,0.45,64,61,24%,1,44%,53%,0.029,19.9M,30.7%,Africa,$1B,$0B,12/1/2008
4.2%,0.322,1155,Below Threshold,$302,Above 3%,52,Low,Malawi,39,,,$0,$4B,8.4%,$25,292,5.9%,1%,0.253,52,52,11%,1,46%,51%,0.03,14.1M,15.3%,Africa,$0B,$0B,12/1/2008
4.8%,0.514,594,Below Threshold,$665,Above 3%,53,Low,Mali,25,,,$0,$9B,6.7%,$45,270,8.8%,2%,,53,53,26%,1,47%,51%,0.03,13.1M,34.4%,Africa,$0B,$0B,12/1/2008
3.6%,0.858,2021,Below Threshold,"$1,107",Above 3%,61,Low,Mauritania,19,,,$0,$4B,4.3%,$46,696,7.2%,2%,0.203,62,59,61%,1,41%,56%,0.031,3.4M,55.3%,Africa,,,12/1/2008
1.3%,0.258,3953,Below Threshold,"$7,600",Below 1.5%,73,Very Friendly,Mauritius,6,,,"$4,688",$10B,4.6%,$362,161,1.4%,22%,0.115,76,69,85%,1,22%,70%,0.072,1.3M,41.0%,Africa,$2B,$0B,12/1/2008
2.1%,0.529,49934,Below Threshold,"$2,871",1.5-3%,70,Friendly,Morocco,12,,14933,$0,$89B,5.4%,$156,358,3.1%,33%,,71,68,74%,1,29%,66%,0.05,31.0M,56.7%,Africa,$9B,$2B,12/1/2008
4.2%,0.375,2340,Below Threshold,$435,Above 3%,49,Moderate,Mozambique,26,,9264,$0,$10B,5.5%,$24,230,7.8%,2%,0.183,50,47,19%,1,45%,52%,0.032,22.8M,30.5%,Africa,$0B,$0B,12/1/2008
2.8%,0.228,3579,Below Threshold,"$4,024",1.5-3%,60,Friendly,Namibia,66,,1455,$0,$8B,6.9%,$287,339,4.1%,5%,0.137,63,57,50%,1,39%,58%,0.034,2.1M,39.6%,Africa,$0B,$0B,12/1/2008
5.0%,0.423,917,Below Threshold,$367,Above 3%,56,Low,Niger,19,,,$0,$5B,7.1%,$26,270,7.2%,1%,,56,56,13%,1,50%,48%,0.026,14.7M,17.2%,Africa,$0B,$0B,12/1/2008
4.2%,0.322,92621,Below Threshold,"$1,376",Above 3%,51,Moderate,Nigeria,25,,111225,$0,$208B,6.5%,$88,938,8.8%,16%,0.155,51,50,42%,1,44%,54%,0.027,151.2M,41.7%,Africa,$1B,$11B,12/1/2008
3.8%,0.334,543,Below Threshold,$457,Above 3%,60,Friendly,Rwanda,14,,,$0,$5B,10.1%,$47,160,5.0%,5%,0.165,61,59,13%,1,45%,53%,0.023,10.2M,22.0%,Africa,$0B,$0B,12/1/2008
3.7%,0.472,84,Below Threshold,"$1,090",Above 3%,66,Low,Sao Tome and Principe,144,,,$0,$0B,6.3%,$75,424,4.3%,16%,0.324,67,64,30%,1,42%,55%,0.038,0.2M,60.4%,Africa,$0B,$0B,12/1/2008
3.9%,0.455,5442,Below Threshold,"$1,094",Above 3%,63,Low,Senegal,9,,3036,$0,$13B,4.9%,$54,666,5.1%,11%,,64,61,44%,1,44%,53%,0.031,12.2M,41.7%,Africa,$1B,$0B,12/1/2008
1.8%,0.466,708,Below Threshold,"$11,123",1.5-3%,74,Friendly,Seychelles,39,,,"$9,376",$1B,2.7%,$289,76,1.2%,40%,0.118,79,68,104%,1,23%,70%,0.075,0.1M,51.8%,Africa,$0B,$0B,12/1/2008
4.0%,2.352,664,Above Threshold,$453,Above 3%,44,Moderate,Sierra Leone,17,,,$0,$3B,14.2%,$64,399,12.0%,0%,0.245,44,44,18%,1,42%,55%,0.025,5.5M,37.6%,Africa,$0B,$0B,12/1/2008
4.6%,,609,Below Threshold,,Above 3%,54,Not Clustered,Somalia,,,,,,,,,10.2%,1%,,55,52,7%,1,48%,49%,0.029,9.1M,36.4%,Africa,,,12/1/2008
2.2%,0.337,465023,Below Threshold,"$5,511",1.5-3%,53,Very Friendly,South Africa,22,,146768,"$4,688",$273B,8.0%,$437,200,4.6%,8%,0.151,54,51,90%,1,30%,65%,0.049,49.6M,61.2%,Africa,$9B,$7B,12/1/2008
3.8%,,,Below Threshold,"$1,797",Above 3%,52,Low,South Sudan,,,,$0,$16B,2.0%,$34,,7.6%,,,53,51,,1,43%,53%,0.033,9.1M,17.6%,Africa,,,12/1/2008
3.6%,0.361,12589,Below Threshold,"$1,589",Above 3%,61,Moderate,Sudan,39,,15539,$0,$54B,7.5%,$118,180,5.8%,,,63,59,29%,1,43%,54%,0.031,34.0M,32.9%,Africa,$0B,$1B,12/1/2008
3.1%,0.363,1093,Below Threshold,"$2,617",Above 3%,48,Moderate,Swaziland,60,,,$0,$3B,8.2%,$214,104,7.4%,7%,0.148,47,48,46%,1,40%,57%,0.033,1.2M,21.7%,Africa,$0B,$0B,12/1/2008
4.1%,0.444,6538,Below Threshold,$489,Above 3%,57,Moderate,Tanzania,26,,18921,$0,$21B,5.4%,$26,172,4.7%,2%,0.15,58,56,31%,1,45%,52%,0.031,42.4M,26.8%,Africa,$1B,$1B,12/1/2008
3.8%,0.526,1456,Below Threshold,$528,Above 3%,55,Low,Togo,62,,2563,$0,$3B,6.5%,$34,270,6.4%,2%,,56,54,26%,1,42%,55%,0.028,6.0M,36.6%,Africa,$0B,$0B,12/1/2008
1.8%,0.586,25013,Below Threshold,"$4,343",1.5-3%,74,Very Friendly,Tunisia,11,,9427,$0,$45B,5.6%,$246,228,1.7%,28%,,76,72,83%,1,24%,69%,0.069,10.3M,65.6%,Africa,$4B,$1B,12/1/2008
4.6%,0.34,3161,Below Threshold,$448,Above 3%,56,Moderate,Uganda,25,,,$0,$14B,8.8%,$39,222,5.7%,8%,0.205,56,55,27%,1,49%,48%,0.025,31.8M,13.9%,Africa,$1B,$0B,12/1/2008
4.3%,0.15,1845,Below Threshold,"$1,175",Above 3%,52,Friendly,Zambia,18,,7641,$0,$15B,6.6%,$78,183,6.7%,6%,0.191,52,51,28%,1,47%,50%,0.027,12.5M,37.9%,Africa,$0B,$0B,12/1/2008
3.2%,0.684,8148,Below Threshold,$345,Above 3%,49,Low,Zimbabwe,97,,8678,$0,$4B,,,256,5.8%,11%,,49,49,13%,1,42%,55%,0.039,12.8M,33.6%,Africa,$0B,,12/1/2008
4.1%,0.363,3927,Below Threshold,$377,Above 3%,59,Low,Afghanistan,9,,,$0,$10B,9.7%,$35,275,7.9%,2%,0.149,60,57,29%,1,49%,49%,0.021,27.0M,23.9%,Asia,$0B,$0B,12/1/2008
1.4%,0.386,5556,Below Threshold,"$3,917",Below 1.5%,74,Very Friendly,Armenia,17,,3004,$0,$12B,3.8%,$149,581,1.8%,6%,0.17,77,71,48%,1,21%,68%,0.111,3.0M,64.0%,Asia,$0B,$0B,12/1/2008
1.7%,0.409,45702,Below Threshold,"$5,575",1.5-3%,70,Friendly,Azerbaijan,10,,13322,"$4,688",$49B,4.4%,$241,376,3.7%,17%,0.198,73,67,74%,1,24%,70%,0.062,8.8M,53.0%,Asia,$0B,$0B,12/1/2008
2.2%,0.361,46435,Below Threshold,$538,1.5-3%,69,Moderate,Bangladesh,73,,27873,$0,$80B,3.5%,$19,302,4.3%,3%,0.164,69,68,30%,1,33%,63%,0.045,148.0M,29.0%,Asia,$0B,$1B,12/1/2008
2.1%,0.408,422,Below Threshold,"$1,818",1.5-3%,66,Low,Bhutan,46,,,$0,$1B,5.2%,$95,274,3.8%,7%,0.138,66,66,37%,1,31%,65%,0.043,0.7M,33.2%,Asia,$0B,$0B,12/1/2008
1.8%,0.374,10583,Below Threshold,"$37,094",1.5-3%,78,Friendly,Brunei Darussalam,116,,3542,"$32,816",$14B,2.2%,$821,144,0.8%,46%,0.055,80,76,103%,1,28%,69%,0.034,0.4M,74.7%,Asia,$0B,$0B,12/1/2008
2.6%,0.215,3975,Below Threshold,$743,1.5-3%,70,Moderate,Cambodia,102,,3514,$0,$10B,5.5%,$41,137,4.2%,1%,,72,67,30%,1,33%,62%,0.048,13.9M,19.5%,Asia,$1B,$0B,12/1/2008
1.2%,0.799,7035444,Below Threshold,"$3,414",Below 1.5%,75,Friendly,China,41,,2120814,$0,"$4,522B",4.6%,$155,464,1.6%,23%,0.053,76,73,48%,1,19%,73%,0.081,"1,324.7M",46.5%,Asia,$44B,$41B,12/1/2008
1.4%,0.386,6238,Below Threshold,"$2,920",Below 1.5%,74,Very Friendly,Georgia,3,,3005,$0,$13B,9.0%,$261,387,1.7%,10%,0.18,77,70,62%,1,17%,68%,0.145,4.4M,52.6%,Asia,$1B,$0B,12/1/2008
1.1%,0.241,38573,Below Threshold,"$31,516",Below 1.5%,83,Very Friendly,"Hong Kong SAR, China",11,,14139,"$28,128",$219B,,,80,,67%,0.05,86,79,166%,1,13%,75%,0.125,7.0M,100.0%,Asia,$20B,$16B,12/1/2008
2.2%,0.703,1811289,Below Threshold,"$1,042",1.5-3%,65,Moderate,India,30,,632956,$0,"$1,224B",3.9%,$43,271,5.0%,4%,0.133,67,63,30%,1,31%,64%,0.049,"1,174.7M",30.2%,Asia,$12B,$12B,12/1/2008
2.1%,0.375,412387,Below Threshold,"$2,178",1.5-3%,70,Moderate,Indonesia,77,,186605,$0,$510B,2.8%,$61,266,3.0%,8%,0.136,72,68,60%,1,30%,65%,0.049,234.2M,48.3%,Asia,$8B,$9B,12/1/2008
0.9%,0.55,1206916,Below Threshold,"$37,972",Below 1.5%,83,Very Friendly,Japan,22,,495352,"$37,504","$4,849B",8.6%,"$3,259",355,0.3%,75%,0.019,86,79,87%,1,14%,65%,0.216,127.7M,88.9%,Asia,$14B,$39B,12/1/2008
2.3%,0.415,230438,Below Threshold,"$8,514",1.5-3%,67,Friendly,Kazakhstan,21,,69983,"$4,688",$133B,3.9%,$332,271,2.3%,11%,,72,62,96%,1,25%,68%,0.071,15.7M,54.1%,Asia,$1B,$1B,12/1/2008
1.5%,,78081,Below Threshold,,1.5-3%,69,Not Clustered,"Korea, Dem. Rep.",,,20164,,,,,,2.6%,,,72,65,,1,24%,68%,0.083,24.2M,60.0%,Asia,,,12/1/2008
0.9%,0.325,508052,Below Threshold,"$20,475",Below 1.5%,80,Very Friendly,"Korea, Rep.",17,,226946,"$18,752","$1,002B",6.6%,"$1,253",250,0.4%,81%,0.072,83,77,95%,1,17%,72%,0.104,48.9M,81.7%,Asia,$13B,$21B,12/1/2008
2.4%,0.614,5680,Below Threshold,$966,1.5-3%,69,Friendly,Kyrgyz Republic,15,,2846,$0,$5B,6.1%,$60,202,3.0%,16%,0.199,73,65,65%,1,30%,65%,0.049,5.3M,35.3%,Asia,$1B,$0B,12/1/2008
2.9%,0.334,1742,Below Threshold,$887,1.5-3%,66,Low,Lao PDR,93,,,$0,$5B,4.1%,$36,560,6.3%,4%,0.24,67,65,33%,1,38%,58%,0.037,6.1M,30.8%,Asia,$0B,$0B,12/1/2008
0.9%,,1192,Below Threshold,"$40,847",Below 1.5%,80,Not Clustered,"Macao SAR, China",,,,"$37,504",$21B,,,,,49%,0.054,82,77,184%,1,14%,79%,0.071,0.5M,100.0%,Asia,$17B,$1B,12/1/2008
1.8%,0.345,213221,Below Threshold,"$8,460",1.5-3%,75,Very Friendly,Malaysia,20,,73006,"$4,688",$231B,3.4%,$288,145,0.7%,56%,0.061,77,72,102%,1,29%,67%,0.046,27.3M,69.2%,Asia,$19B,$8B,12/1/2008
2.2%,0.093,1008,Below Threshold,"$6,027",1.5-3%,76,Friendly,Maldives,9,,,"$4,688",$2B,7.9%,$475,,1.4%,23%,0.13,77,75,139%,1,31%,64%,0.049,0.3M,37.6%,Asia,$2B,$0B,12/1/2008
2.2%,0.338,10029,Below Threshold,"$2,136",1.5-3%,66,Friendly,Mongolia,13,,3156,$0,$6B,6.4%,$136,204,3.2%,10%,0.206,70,62,67%,1,27%,69%,0.038,2.6M,65.6%,Asia,$0B,$0B,12/1/2008
1.8%,,9028,Below Threshold,,1.5-3%,64,Low,Myanmar,,,15033,,,2.0%,$10,,4.6%,0%,0.17,66,62,1%,1,27%,68%,0.05,51.2M,30.4%,Asia,$0B,$0B,12/1/2008
2.5%,0.341,3047,Below Threshold,$478,1.5-3%,66,Moderate,Nepal,31,,9634,$0,$13B,6.1%,$27,408,4.0%,2%,0.08,67,65,16%,1,38%,57%,0.047,26.2M,16.2%,Asia,$0B,$1B,12/1/2008
2.7%,0.288,156676,Below Threshold,"$1,018",1.5-3%,66,Moderate,Pakistan,24,,82046,$0,$170B,3.3%,$29,560,7.6%,7%,0.129,67,65,53%,1,37%,59%,0.043,167.0M,35.8%,Asia,$1B,$2B,12/1/2008
2.6%,0.471,75944,Below Threshold,"$1,921",1.5-3%,68,Moderate,Philippines,41,,40009,$0,$174B,3.8%,$74,195,2.6%,6%,0.088,71,65,75%,1,36%,60%,0.036,90.4M,45.8%,Asia,$3B,$3B,12/1/2008
1.0%,0.279,19637,Below Threshold,"$39,722",Below 1.5%,81,Very Friendly,Singapore,4,,25162,"$37,504",$192B,4.0%,"$1,577",84,0.2%,69%,0.054,83,78,132%,1,18%,73%,0.086,4.8M,100.0%,Asia,$11B,$16B,12/1/2008
